gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000198624.13,2053.7851520388185,-2.903529561364011,0.24891407783292727,-11.664786446160264,1.9288646849942606e-31,1.8609257844227962e-28,CCDC69
ENSG00000144369.14,1294.5571758625438,1.347795127279885,0.11594476986044695,11.624458170059016,3.095511285240295e-31,2.8292973147096297e-28,FAM171B
ENSG00000187193.9,95.04269162672445,-3.1164625435296185,0.2777334246821427,-11.221056835691684,3.214062757263305e-29,2.7907706921317276e-26,MT1X
ENSG00000135821.19,19588.197795116383,-3.0029186214715535,0.2687599129910711,-11.173238553516416,5.513332157912351e-29,4.5592631549669474e-26,GLUL
ENSG00000276600.5,310.19296958114563,1.8281347465155362,0.163765435025896,11.163129424878063,6.177792481008069e-29,4.6645019228341793e-26,RAB7B
ENSG00000108821.14,99503.74262301406,1.294655234948829,0.11594158528336354,11.16644413464475,5.951603442856713e-29,4.6645019228341793e-26,COL1A1
ENSG00000164647.9,1814.7832664614455,-1.5608977856236812,0.14016450732592267,-11.136184298027363,8.362598452144669e-29,5.813611434599965e-26,STEAP1
ENSG00000256235.3,1107.5314143920903,-1.2728143058220973,0.11429609640874468,-11.136113531561659,8.369243686801746e-29,5.813611434599965e-26,SMIM3
ENSG00000162692.12,507.1955504500724,3.6071522077148708,0.3248955403175405,11.102498372828935,1.2198547127422666e-28,8.147691131339309e-26,VCAM1
ENSG00000163884.4,558.0762732886111,-4.574045160134614,0.41256937550248324,-11.086729727730562,1.4551047279283668e-28,9.359018038964452e-26,KLF15
ENSG00000139132.16,1220.966953938154,-2.2533382039567247,0.20385547863000225,-11.053606305310707,2.105819941065347e-28,1.3060596105907434e-25,FGD4
ENSG00000077684.16,1616.345801623257,-1.2268164015394627,0.11104091181273523,-11.048327877642299,2.2333590807733607e-28,1.3373970274727648e-25,JADE1
ENSG00000114098.18,1000.5851869264127,-1.3689002804698063,0.1244018735133251,-11.003855824753144,3.6613402945908323e-28,2.1194278518621467e-25,ARMC8
ENSG00000177666.17,2238.148143470869,-1.0832464930705474,0.09930517326084289,-10.908258427032857,1.0525340578160198e-27,5.896227886462258e-25,PNPLA2
ENSG00000109906.15,1179.814469613183,-7.182064829164687,0.6632080476554364,-10.829278767883803,2.501175575443453e-27,1.357356720098469e-24,ZBTB16
ENSG00000165995.24,561.2402191173546,-3.2477812742005074,0.30015502324435284,-10.820346230076334,2.7573375842082153e-27,1.4510280147684809e-24,CACNB2
ENSG00000123562.18,4989.925059538639,-1.0270262751232833,0.09537107163422069,-10.768740012299174,4.8357350667251775e-27,2.4699227990808657e-24,MORF4L2
ENSG00000116285.13,3228.61118311818,-2.4454351864743518,0.22763583052266792,-10.74275161717494,6.410478267506232e-27,3.1806961598146635e-24,ERRFI1
ENSG00000145777.15,153.3294687801067,2.7949283546553754,0.2617166809112599,10.679213663125468,1.273457432771255e-26,6.143017160418226e-24,TSLP
ENSG00000181467.5,643.719553129262,1.2651133052704802,0.11882304765086464,10.647036330760821,1.800047853538745e-26,8.448548925555094e-24,RAP2B
ENSG00000157150.5,177.9853700608071,-2.9520393574595865,0.2798724193353332,-10.547803761693851,5.199833399240914e-26,2.3763238634530975e-23,TIMP4
ENSG00000163491.18,198.2953461854343,2.3709179789249455,0.22559661959896246,10.509545679982564,7.806872280450402e-26,3.47626010313594e-23,NEK10
ENSG00000103196.12,3019.071820640413,-2.7035435294468457,0.26081607832968323,-10.365708842648287,3.55115645323015e-25,1.5417345741698694e-22,CRISPLD2
ENSG00000163697.18,2325.9664109748273,-1.0794424796305908,0.10469250129113286,-10.310599769021053,6.31062484560766e-25,2.6729344163127467e-22,APBB2
ENSG00000119138.5,1680.840696951359,-2.1130968217247537,0.20547220260329066,-10.284100695628169,8.311432099601743e-25,3.436579281944854e-22,KLF9
ENSG00000139289.15,2409.3725095391546,1.0509839854614293,0.102349468913198,10.268582696337809,9.762835983311836e-25,3.9428234810742637e-22,PHLDA1
ENSG00000183160.9,2978.274599146191,1.1660062713265862,0.1145841981770083,10.175977926078023,2.5383729182706918e-24,1.0018496386065645e-21,TMEM119
ENSG00000158246.8,69.97715583727293,-2.3309373986873756,0.22979382626212452,-10.14360323165727,3.5380333207445366e-24,1.3653663699566582e-21,TENT5B
ENSG00000185950.9,2173.345013274436,-2.1707962862754258,0.214690401578123,-10.111287092103657,4.923317067809111e-24,1.8586592217298484e-21,IRS2
ENSG00000141401.12,620.3798718118557,-2.34442142218428,0.23270662297693964,-10.074579709820307,7.156610518202621e-24,2.6442914523214196e-21,IMPA2
ENSG00000133142.19,3043.709329444633,-1.552798918715966,0.1542026261504741,-10.069860400436456,7.508458124980098e-24,2.716497579133425e-21,TCEAL4
ENSG00000211445.13,12300.386501298322,-3.7492166121257395,0.3752517484604451,-9.991203578684832,1.6654709371805192e-23,5.902564958178959e-21,GPX3
ENSG00000166482.12,27029.663152481648,0.9566143810448872,0.0964913247314623,9.913993653907937,3.618848384507096e-23,1.2568984209070045e-20,MFAP4
ENSG00000172986.13,749.5567972583826,1.5654565574292953,0.15974568826325053,9.799679568499679,1.1294336053153759e-22,3.845832154883689e-20,GXYLT2
ENSG00000113456.20,1052.6850370399452,-0.8854906608775507,0.09089984787615366,-9.741387709295026,2.00793341129728e-22,6.705725311651647e-20,RAD1
ENSG00000131389.18,748.9136817187689,2.10347153224512,0.21989161697931256,9.565946902118668,1.1117901460374456e-21,3.6428957879408074e-19,SLC6A6
ENSG00000164484.12,806.7237796925862,1.2040945295727545,0.12597543157174293,9.558169514085161,1.1985778954038016e-21,3.8545377280708185e-19,TMEM200A
ENSG00000250978.5,56.082415535220704,-6.296817907274085,0.6645269220190804,-9.475640035985307,2.6513028940390285e-21,8.371368374160322e-19,ENSG00000250978
ENSG00000157514.18,2198.297270170572,-3.3394500831257994,0.35440309459489844,-9.422745269600336,4.394452465865746e-21,1.3627510986111525e-18,TSC22D3
ENSG00000161647.19,165.92157035183448,-1.5725968226519467,0.16724398338645902,-9.403009847105045,5.302412157709791e-21,1.6154682373822498e-18,MPP3
ENSG00000132356.12,2382.071742731827,-0.8698103693763494,0.09260378276299984,-9.392816831278356,5.841667280163123e-21,1.7194304065646237e-18,PRKAA1
ENSG00000197043.15,14007.942034032432,-0.9257535858025087,0.09854639849944806,-9.394088468973258,5.7715386782814604e-21,1.7194304065646237e-18,ANXA6
ENSG00000163110.15,1311.1941902896074,-1.5893202406744957,0.16924912786864854,-9.39041908628292,5.9761991683739654e-21,1.7297112459663714e-18,PDLIM5
ENSG00000173838.12,49.62910968137388,-3.9598428987855083,0.42214182066289224,-9.380361539558766,6.574689412152282e-21,1.8717386283842052e-18,MARCHF10
ENSG00000134253.10,136.1314383000386,1.9555214684796522,0.20890430031686147,9.360848319127754,7.909902619595528e-21,2.215538207933806e-18,TRIM45
ENSG00000110756.18,993.6054456748061,-1.5926897035345113,0.1702493670617688,-9.355040380013053,8.356778928729354e-21,2.303552744068476e-18,HPS5
ENSG00000157110.16,3354.200383104336,-0.8788266847876529,0.09457683813069322,-9.292197774398268,1.511347772903722e-20,4.100947722538443e-18,RBPMS
ENSG00000124766.7,1269.8204348246254,2.350118919486077,0.25335329427993586,9.27605431839926,1.758709558226018e-20,4.698730798177389e-18,SOX4
ENSG00000146006.8,50.748357386574426,4.104530101235769,0.4438019834399595,9.248561868563744,2.2753334356301238e-20,5.986884915629202e-18,LRRTM2
ENSG00000103502.14,3064.9751000951546,-0.8195375993828777,0.0886325229185052,-9.246465884045934,2.3203798285026203e-20,6.014285985339777e-18,CDIPT
ENSG00000106976.22,1057.6118524841222,1.7663282394469244,0.19191690997912902,9.20360920587463,3.4612430491031115e-20,8.839403939812446e-18,DNM1
ENSG00000221869.5,1953.7977694101005,-1.5024905029575548,0.16395458046830153,-9.164065429986824,4.9978142717597105e-20,1.2578556904837555e-17,CEBPD
