gene_name,padj_original,padj_new,log2FoldChange_original,log2FoldChange_new,direction_match
ZBTB16,5.2e-07,1.357356720098469e-24,-10.906774509120565,-7.182064829164687,True
CACNB2,1.1e-06,1.4510280147684807e-24,-4.847455337386917,-3.2477812742005074,True
ERRFI1,1.1e-10,3.1806961598146635e-24,-3.505748949360181,-2.445435186474352,True
TSLP,0.00051,6.143017160418227e-24,4.154961717760215,2.794928354655376,True
RAP2B,0.011,8.448548925555094e-24,1.9187844043823212,1.2651133052704802,True
TIMP4,0.00014,2.3763238634530972e-23,-4.111680866533546,-2.9520393574595865,True
NEK10,0.023,3.47626010313594e-23,3.7942879575379735,2.370917978924945,True
CRISPLD2,6.9e-13,1.5417345741698694e-22,-3.8952766104002015,-2.7035435294468457,True
APBB2,0.048,2.6729344163127467e-22,-1.5725375945689704,-1.0794424796305908,True
KLF9,9.1e-08,3.436579281944854e-22,-3.000805685049044,-2.1130968217247537,True
PHLDA1,0.023,3.942823481074264e-22,1.58696454497786,1.0509839854614291,True
TMEM119,0.011,1.0018496386065645e-21,1.6879531978400872,1.1660062713265862,True
IRS2,1.7e-08,1.8586592217298484e-21,-3.13064823872905,-2.1707962862754258,True
IMPA2,3.8e-07,2.64429145232142e-21,-3.505748949360181,-2.34442142218428,True
TCEAL4,0.00061,2.716497579133425e-21,-2.207323412560114,-1.552798918715966,True
GPX3,0.0,5.902564958178959e-21,-5.424533353742502,-3.74921661212574,True
GXYLT2,0.0072,3.845832154883689e-20,2.2794581646045624,1.5654565574292951,True
SLC6A6,0.024,3.642895787940808e-19,2.9430978834134853,2.10347153224512,True
TMEM200A,0.021,3.8545377280708185e-19,1.7600879498845354,1.2040945295727543,True
TSC22D3,2.5e-13,1.3627510986111525e-18,-4.717612783706911,-3.3394500831257994,True
TRIM45,0.029,2.2155382079338063e-18,2.827682280142368,1.955521468479652,True
HPS5,0.002,2.303552744068476e-18,-2.250604263786783,-1.5926897035345111,True
SOX4,5.1e-09,4.698730798177389e-18,3.476895048542402,2.350118919486077,True
CEBPD,0.00048,1.2578556904837556e-17,-2.1207617101067764,-1.5024905029575548,True
DCXR,1.7e-06,1.5358130740111846e-17,-3.4047602964979538,-2.1552416442559217,True
ACSL1,9.9e-05,1.7317557777867453e-17,-2.3227390158312318,-1.6034543842753264,True
ADAMTS1,4.1e-05,2.033516218320754e-17,-3.3326255444535056,-2.300758897534415,True
ZHX3,0.017,2.033516218320754e-17,-1.644672346613418,-1.1548644169932736,True
C14orf132,0.02,2.485851464818432e-17,1.6302453962045285,1.1390110426370754,True
ANXA4,0.013,5.919400142224641e-17,-1.7312340490667562,-1.1944671580886863,True
TBX18,4.2e-06,7.373923396343606e-17,2.640131924826804,1.7985566173476863,True
FOXO3,0.0075,1.0996240617642111e-16,-1.832222701928984,-1.2998115043944518,True
AP1M1,0.029,1.1739301390589518e-16,-1.5725375945689704,-1.1016175303261178,True
RND2,0.0018,1.2676118766989012e-16,3.274917742817947,2.3400844757933315,True
METTL7A,6.9e-09,1.2676118766989012e-16,-3.260490792409057,-2.326440713013097,True
HIGD1A,0.0088,2.074536638995473e-16,-1.7889418507023147,-1.3145100152403928,True
TRPC6,5.2e-05,2.1935371223240194e-16,-2.798828379324589,-1.965950628188594,True
WASF3,0.026,2.923932639572953e-16,-1.58696454497786,-1.114725680293828,True
FZD8,0.0052,2.923932639572953e-16,-3.491321998951292,-2.5354208355268337,True
CREB5,0.00015,3.2638209992249324e-16,2.8998170321868164,1.999550490751336,True
FOXO1,5.9e-07,6.722980834918523e-16,-3.3181985940446155,-2.350207198850227,True
CRABP2,0.00017,2.410733068789098e-15,2.337165966240121,1.6700836372158487,True
MT1E,0.00043,2.4429747857283378e-15,-3.188356040364609,-2.1646086568225336,True
TGFBR2,0.0072,2.555158416330769e-15,-2.1207617101067764,-1.459470224951296,True
SORT1,9.9e-07,9.11381933278058e-15,-3.188356040364609,-2.229088939336874,True
SLC7A6,0.0066,1.5595350275480293e-14,-1.97649220601788,-1.479308934773642,True
CORO6,1.9e-07,1.8733154257177657e-14,-3.520175899769071,-2.366116316723492,True
TRNP1,2e-06,2.971551230609638e-14,-2.870963131369037,-1.9716035662280635,True
GADD45B,0.019,4.1303984549574856e-14,-2.0774808588801075,-1.4602450951540509,True
SAMD4A,0.019,6.027298949179077e-14,-1.7456609994756458,-1.2109747695309652,True
KCNK6,5.6e-08,6.065126935446224e-14,-4.082826965715767,-2.893007242305679,True
MYADM,0.0045,7.610967736437854e-14,-2.178469511742335,-1.4962151152430374,True
SLC7A14,8.9e-06,8.100301480306023e-14,4.299231221849111,2.883821220286157,True
SAT1,0.00095,1.4389896658711425e-13,-2.0774808588801075,-1.3184447584348271,True
PRSS35,0.00083,1.8990942513869373e-13,4.111680866533546,2.72583993210067,True
LHFPL2,0.0062,2.6189335734866e-13,1.7889418507023147,1.240915272196934,True
RPS6KA5,0.019,4.16340074291649e-13,3.678872354266856,2.269652043173644,True
ADAMTS14,2.1e-05,4.397720546051412e-13,3.433614197315733,2.404868442113135,True
ENDOD1,7e-07,4.851798197972591e-13,-2.827682280142368,-1.965092042682281,True
AFAP1L1,0.0012,5.318738191112701e-13,-2.481435470329017,-1.7129350015652325,True
ADRA1B,3.1e-07,5.428856678505164e-13,-5.669791510693627,-3.705293354117028,True
NCKAP5,0.021,1.0127155433386802e-12,3.260490792409057,2.2114415933671765,True
TXNRD1,0.048,1.0661458376281925e-12,-2.1928964621512246,-1.549754735693844,True
PER3,0.00074,2.549336960406392e-12,3.347052494862395,2.230396505784205,True
LDB2,0.019,5.011824965216159e-12,1.8466496523378733,1.3240560989204062,True
TJP2,7e-06,5.1843835629485785e-12,-2.870963131369037,-1.820774273661964,True
RTKN2,0.031,9.229361454038325e-12,3.000805685049044,1.878651628014078,True
SAP30,0.033,1.072570601138976e-11,-1.9620652556089904,-1.2411253824091777,True
PGBD5,0.0036,1.9498046091351543e-11,3.736580155902415,2.470368565941037,True
CHST7,0.0065,2.061754141944656e-11,-2.178469511742335,-1.5484933593299608,True
NUAK1,0.023,4.036364839428282e-11,-1.9620652556089904,-1.3984095986221374,True
SUN2,3.1e-06,5.4982806428935817e-11,-2.827682280142368,-1.9030520026351103,True
MARCKS,0.0097,6.169262321141986e-11,1.7889418507023147,1.1752112003091304,True
MMD,9.3e-05,6.185552461086843e-11,-2.337165966240121,-1.6460279823645685,True
LIF,0.0029,7.911407910483136e-11,3.476895048542402,2.477320979822869,True
KLF6,0.025,8.119474995109121e-11,-1.58696454497786,-1.11209317068785,True
CIT,0.03,9.628608310237692e-11,2.1928964621512246,1.5868554138827946,True
C4orf46,0.0069,2.6143786675454544e-10,2.0774808588801075,1.376371053021253,True
GPR68,0.0062,2.7788909673572324e-10,4.587770230026904,3.0429322453618144,True
TEX2,0.00053,2.8381830185368387e-10,-2.149615610924556,-1.491515141719489,True
NKD1,0.0012,2.8381830185368387e-10,-3.5778837014046294,-2.427111317833353,True
NCOA3,0.0069,2.9769150127628555e-10,-2.0053461068356597,-1.4103397334862324,True
FLRT3,0.028,3.02483733082489e-10,3.4047602964979538,2.3586639134944245,True
RHOB,0.01,3.601500627681072e-10,-1.7312340490667562,-1.2017701356663149,True
MAFF,0.022,3.823716290382072e-10,-1.8755035531556523,-1.2836166818769716,True
CORIN,0.019,4.658119479998477e-10,-2.842109230551258,-1.9784696173737708,True
LMCD1,8.6e-05,5.501314728708818e-10,-2.35159291664901,-1.6268093093613072,True
SMARCD2,0.0036,5.725617421298639e-10,-1.8755035531556523,-1.2826098444747027,True
SYNPO2,0.015,8.574822050958748e-10,-2.553570222373465,-1.7349317707089222,True
PTX3,4.8e-06,1.0853989779971774e-09,-3.2027829907734997,-2.2235514227478235,True
AMOT,0.0036,1.301221203772872e-09,3.2027829907734997,2.300821661824052,True
