sample_id	input_reads	uniquely_mapped	uniquely_mapped_pct	splice_junctions	multi_mapped_pct	total_mapped_pct	junction_pct
N052611_dex	16823088	15858788	94.27	6671994	3.49	97.75999999999999	42.07127303801526
N080611_untreated	27298970	25654948	93.98	11433449	3.8	97.78	44.566252872545284
N61311_dex	21155707	19555732	92.44	8685096	3.89	96.33	44.412022009710505
N052611_untreated	28136282	26588039	94.5	12098970	3.63	98.13	45.50531161775414
N061011_dex	23487860	22099427	94.09	9815320	3.55	97.64	44.4143642276336
N080611_dex	34298260	32466822	94.66	14332724	3.47	98.13	44.145755935089674
N61311_untreated	22935521	21409364	93.35	9834905	4.13	97.47999999999999	45.93739916795286
N061011_untreated	21275888	20056120	94.27	9041083	3.59	97.86	45.078923540545226
