gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000152583.8,995.6287590554821,-4.599243257947079,0.21026246132459606,-21.87382012449157,4.612893788624191e-106,7.991377199412549e-102,SPARCL1
ENSG00000148175.8,12732.649697949793,-1.4290668414473027,0.0851141062608433,-16.790011717537638,2.8878787040575915e-63,2.501480533454686e-59,STOM
ENSG00000179094.9,792.3117757896384,-3.200999810092176,0.2012812886436524,-15.903116636734243,6.028925583339148e-57,3.4815035601922468e-53,PER1
ENSG00000134686.12,2855.7260951116496,-1.3885885342164492,0.08984127878439442,-15.456019248666898,6.871596832585733e-54,2.976088588192881e-50,PHC2
ENSG00000125148.6,3653.7873450515153,-2.202022626820728,0.14907959434613535,-14.770784938601572,2.2606469419442705e-49,7.832689524448509e-46,MT2A
ENSG00000120129.5,3403.2366229574827,-2.9484971168670913,0.2003247114630955,-14.71858911131028,4.897722518517227e-49,1.4141357485132075e-45,DUSP1
ENSG00000189221.5,2332.9994790181718,-3.3024537161492904,0.22725073400299445,-14.532202637927561,7.574511788642178e-48,1.8745834603776726e-44,MAOA
ENSG00000109906.9,380.89705637324903,-7.159699776105306,0.4942877168939206,-14.484883057779593,1.5097939514034898e-47,3.2694588017642574e-44,ZBTB16
ENSG00000178695.4,2649.153517157398,2.50136537415248,0.17889054288841758,13.982658522718546,1.9891636555530428e-44,3.828919018755657e-41,KCTD12
ENSG00000101347.7,13233.023709377347,-3.855719853173392,0.279128055004832,-13.813444345845657,2.1147341850351284e-43,3.6635655021548566e-40,SAMHD1
ENSG00000162614.14,5411.9724908779845,-2.028925316716374,0.14948110454194563,-13.573122321604474,5.780614476652608e-42,9.10394229032089e-39,NEXN
ENSG00000196517.7,229.32849396405769,2.226623828152652,0.16421106828970114,13.559523431297837,6.958672454438569e-42,1.0046003466724481e-38,SLC6A9
ENSG00000096060.10,2557.6220308898546,-3.938280589657279,0.2948655594909253,-13.356190517660243,1.090013974227943e-40,1.452569391501914e-37,FKBP5
ENSG00000162616.8,1478.3716423589385,-1.509041276980714,0.11929490789612379,-12.649670498046017,1.1234499715840543e-36,1.3901890934087253e-33,DNAJB4
ENSG00000183044.7,514.6866765873197,-1.1579235411824436,0.0933122013474089,-12.409133258697866,2.3316313253543814e-35,2.6928787386959536e-32,ABAT
ENSG00000116584.13,2247.2395735789637,1.0167180438432584,0.08316727172718985,12.224977719340805,2.2864437934250345e-34,2.4756470173309562e-31,ARHGEF2
ENSG00000166741.3,7420.98976395207,-2.1612723966539487,0.17755447361489718,-12.172446870257927,4.358189163553665e-34,4.441251121729629e-31,NNMT
ENSG00000164125.11,5888.059924872427,-1.1162790529400797,0.09249686742384097,-12.068290354364583,1.553277589478897e-33,1.4949433866740229e-30,FAM198B
ENSG00000144369.8,1295.9880547227754,1.3538807106694748,0.11573538457677972,11.698070694803802,1.3038416054603794e-31,1.1888290512102953e-28,FAM171B
ENSG00000198624.8,2051.935901887423,-2.898063431800159,0.24962227610343418,-11.609794915095273,3.674959604397148e-31,3.18325000932881e-28,CCDC69
ENSG00000108821.9,100764.55197553817,1.301527601818641,0.11497568952368614,11.320024321754671,1.0444293998442734e-29,8.616045201381996e-27,COL1A1
ENSG00000135821.12,19548.865447578355,-3.000587764736872,0.26872242505752025,-11.166123423062267,5.973124182454712e-29,4.703563788038429e-26,GLUL
ENSG00000187193.8,94.74313463144641,-3.107645295141697,0.27928967426231277,-11.126960935272363,9.274377066502386e-29,6.985622100003798e-26,MT1X
ENSG00000162692.6,508.22384466850497,3.6133801195162696,0.32522025707639535,11.110562890513535,1.1145471368598514e-28,8.045172749566695e-26,VCAM1
ENSG00000164647.4,1813.786130705035,-1.5547407416269285,0.13999368803248413,-11.105791721596523,1.1757073665456353e-28,8.147181767214635e-26,STEAP1
ENSG00000163884.3,557.4740569871907,-4.569938002543277,0.4133411597454622,-11.056092273407929,2.048282365787154e-28,1.3647862963421789e-25,KLF15
ENSG00000114098.13,999.9612280278886,-1.3631898130557447,0.12348592571226366,-11.039232246046671,2.47135735455219e-28,1.585696104083783e-25,ARMC8
ENSG00000139132.10,1218.2363510804355,-2.2491909367595686,0.20389763785716578,-11.030980841157023,2.7089432232871527e-28,1.6760618714366654e-25,FGD4
ENSG00000177666.11,2236.8512945851444,-1.07726009610744,0.09771856297192266,-11.024109067352613,2.923994597431859e-28,1.7467338760658455e-25,PNPLA2
ENSG00000077684.11,1687.9131705420202,-1.2101767238235037,0.11048384792370627,-10.953426646211504,6.398050275366644e-28,3.694660765681725e-25,PHF17
ENSG00000165995.14,528.9503015301564,-3.3205911932357535,0.30541277570195946,-10.872469842179067,1.5592180005327986e-27,8.713513755235551e-25,CACNB2
ENSG00000123562.12,5066.284818832269,-1.0242237715490647,0.09459469997371514,-10.827496380174196,2.5503309748101138e-27,1.3806854314878254e-24,MORF4L2
ENSG00000181467.2,629.8432826946655,1.2735525182279024,0.11833316724185598,10.762430753035995,5.178587689886453e-27,2.7186016102906945e-24,RAP2B
ENSG00000116285.8,3226.725490262127,-2.4389411442032642,0.22735163464820757,-10.727616487020903,7.55189618647049e-27,3.847913221600434e-24,ERRFI1
ENSG00000157150.4,180.82046741309756,-2.963214582581386,0.2779751757433106,-10.659997154989458,1.566022343164456e-26,7.53604752027251e-24,TIMP4
ENSG00000145777.10,153.62185879429907,2.8009047170460044,0.2627046382428586,10.661801541763014,1.5359300323010423e-26,7.53604752027251e-24,TSLP
