gene_name,padj_original,padj_new,log2FoldChange_original,log2FoldChange_new,direction_match
TRNP1,2e-06,3.5647593736826563e-14,-2.870963131369037,-1.9645509678384712,True
SAMD4A,0.019,4.163113348346817e-14,-1.7456609994756458,-1.2056624604086164,True
GADD45B,0.019,4.609340628355677e-14,-2.0774808588801075,-1.4543876037986156,True
MYADM,0.0045,6.667212076878753e-14,-2.178469511742335,-1.4904534226636452,True
SLC7A6,0.0066,1.0422179729841213e-13,-1.97649220601788,-1.4430922385287968,True
RND2,0.0018,1.2251465886630004e-13,3.274917742817947,2.374104235334095,True
SLC7A14,8.9e-06,1.2522373175502497e-13,4.299231221849111,2.886158235935901,True
LHFPL2,0.0062,1.2760184256528764e-13,1.7889418507023147,1.2461338011371643,True
PRSS35,0.00083,2.0775798056854985e-13,4.111680866533546,2.7332753268439416,True
SAT1,0.00095,2.0790985821803265e-13,-2.0774808588801075,-1.320434311152554,True
TJP2,7e-06,2.8795721220213614e-13,-2.870963131369037,-1.963836239960347,True
ADAMTS14,2.1e-05,3.4812599070020493e-13,3.433614197315733,2.410071365103391,True
ENDOD1,7e-07,6.071138772212587e-13,-2.827682280142368,-1.9619289621703424,True
AFAP1L1,0.0012,7.088029311090306e-13,-2.481435470329017,-1.696426466668012,True
NOV,2.1e-06,1.0070783251218452e-12,3.751007106311305,2.5799587239768424,True
TXNRD1,0.048,1.2698368001945497e-12,-2.1928964621512246,-1.5443423071917,True
KCNK6,5.6e-08,1.4482776677023192e-12,-4.082826965715767,-2.804566311959879,True
NCKAP5,0.021,1.632376229491414e-12,3.260490792409057,2.2066254545467703,True
ADRA1B,3.1e-07,1.882616424693905e-12,-5.669791510693627,-3.6789690915897855,True
PER3,0.00074,2.9449994066739397e-12,3.347052494862395,2.23579433092883,True
LDB2,0.019,3.784562647809448e-12,1.8466496523378733,1.3303860597066892,True
RTKN2,0.031,6.038993500350807e-12,3.000805685049044,1.8986218671970252,True
PRODH,0.0015,7.164352207651514e-12,-8.915855352693793,-5.392204778079373,True
SAP30,0.033,9.11496753352145e-12,-1.9620652556089904,-1.230848352012923,True
FAM46C,0.0096,1.4360291328104795e-11,3.6644454038579672,2.4653044214432667,True
MARCKS,0.0097,1.8412106356194885e-11,1.7889418507023147,1.181437597567088,True
CHST7,0.0065,2.0212678388200348e-11,-2.178469511742335,-1.5452208999710566,True
NUAK1,0.023,2.568622539873341e-11,-1.9620652556089904,-1.370095578573694,True
TEX2,0.00053,3.6218591326170925e-11,-2.149615610924556,-1.5083587322223238,True
SUN2,3.1e-06,6.57013418321552e-11,-2.827682280142368,-1.9042214118586325,True
KLF6,0.025,7.165789798156229e-11,-1.58696454497786,-1.106390573241958,True
LIF,0.0029,7.396586332482472e-11,3.476895048542402,2.484322734779314,True
MMD,9.3e-05,7.904341193505925e-11,-2.337165966240121,-1.6416892958316485,True
PGBD5,0.0036,9.66473608032198e-11,3.736580155902415,2.476290171167438,True
C4orf46,0.0069,1.9708994723657016e-10,2.0774808588801075,1.38237919693165,True
LMCD1,8.6e-05,2.021120898504245e-10,-2.35159291664901,-1.5928662287459958,True
CIT,0.03,2.4188208740546907e-10,2.1928964621512246,1.5813936795445935,True
MAFF,0.022,2.7731129594906736e-10,-1.8755035531556523,-1.2922786023998147,True
FLRT3,0.028,2.8388624686073737e-10,3.4047602964979538,2.36588305288374,True
NCOA3,0.0069,2.9588733766747727e-10,-2.0053461068356597,-1.4047969711180874,True
RHOB,0.01,4.70637807109976e-10,-1.7312340490667562,-1.1961560498533932,True
SMARCD2,0.0036,5.836507826157796e-10,-1.8755035531556523,-1.2742208177721726,True
CORIN,0.019,6.10044989718865e-10,-2.842109230551258,-1.9723129317753745,True
GPR68,0.0062,7.252565814889091e-10,4.587770230026904,2.950329986409819,True
SYNPO2,0.015,1.03906911699896e-09,-2.553570222373465,-1.7224648377139422,True
PTX3,4.8e-06,1.2572335611109492e-09,-3.2027829907734997,-2.2173642778900304,True
AMOT,0.0036,1.298080999766731e-09,3.2027829907734997,2.3057050487259003,True
NAMPT,0.022,1.3235379651009134e-09,-1.6013914953867496,-1.0441827546424889,True
REV3L,0.045,1.5703275386362262e-09,-1.6302453962045285,-1.1211763959569814,True
FER1L6,9.1e-06,1.915212748762838e-09,4.616624130844683,3.1223575946215623,True
STARD7,0.011,2.059500379835258e-09,-1.774514900293425,-1.2682053411087093,True
NYNRIN,0.024,2.0680520312285943e-09,1.6013914953867496,1.1647526811760474,True
NKD1,0.0012,2.3685705667529547e-09,-3.5778837014046294,-2.496588015431886,True
COL7A1,0.0078,2.7458259352777722e-09,-1.774514900293425,-1.2274391622695953,True
ADAM12,0.00054,3.2940165050789877e-09,2.611278024009024,1.8359401543494325,True
NR4A3,0.0019,3.558988890526717e-09,-3.2027829907734997,-2.116736730252565,True
PXDC1,0.0017,3.691612681522053e-09,-2.0053461068356597,-1.3813948489975525,True
SSH2,0.0062,3.917267586467983e-09,-1.8033688011112043,-1.2185256501212771,True
AQP3,0.00054,4.227338163486004e-09,4.198242568986884,2.9777891864310257,True
AASS,0.026,4.409767110142354e-09,-1.6302453962045285,-1.103823488328645,True
CLDN11,1.9e-05,5.009975235540326e-09,2.539143271964576,1.7183723230538763,True
ZCCHC6,0.018,5.9035081919312955e-09,-1.6590992970223075,-1.1219460439852331,True
MOB3B,0.0072,7.670419624000285e-09,-4.140534767351325,-2.792798849590709,True
CALCOCO2,0.016,8.547691613674676e-09,-1.6590992970223075,-1.1507714506629407,True
PPP1R14A,7.1e-06,8.547691613674676e-09,-4.515635477982456,-2.829567700363359,True
STON1,0.0065,1.1297283092039796e-08,-1.9620652556089904,-1.4254662988541935,True
GDF15,0.00047,1.2140121483300946e-08,2.7411205776890304,1.856391849424908,True
KLF5,0.0012,1.2335850258791912e-08,-3.736580155902415,-2.584596431591796,True
DAAM2,0.00051,1.5494648991878865e-08,-2.4525815695112376,-1.6471332418478213,True
PLA2G4A,0.0054,1.6212217032043266e-08,3.6932993046757465,2.5027974005374776,True
HMGB2,0.02,1.7620417376799393e-08,-1.817795751520094,-1.2383574673632345,True
BDKRB2,4.7e-06,2.0259090310630323e-08,2.7699744785068097,1.9976864796345088,True
SQRDL,0.03,2.0660029358851544e-08,-1.543683693751191,-1.0229174672755066,True
GCLM,0.0075,2.1401204572184063e-08,-1.7889418507023147,-1.2434859571245132,True
ABCA6,0.049,2.4078368747109113e-08,-1.4859758921156323,-1.0354739062656355,True
FZD5,0.032,2.423831482268461e-08,-3.6067376022224087,-2.4618485604654787,True
ACSS1,0.00013,2.886305972882393e-08,-2.798828379324589,-1.88265782995452,True
SLC16A12,0.0036,3.9475184693986826e-08,-5.597656758649178,-4.01858921976517,True
LRRC16A,0.02,5.428099493918246e-08,-1.7456609994756458,-1.1752503768809694,True
NID1,0.0018,5.527603508841055e-08,-2.250604263786783,-1.5544049694517428,True
CITED2,0.0025,5.976662575919237e-08,-2.337165966240121,-1.6131476785086245,True
PRKAG2,0.003,6.20548492225783e-08,-2.1640425613334453,-1.5745436151112353,True
RWDD4,0.043,7.667065010215528e-08,-1.644672346613418,-1.084212406478198,True
GRAMD4,0.049,1.0027910646900763e-07,1.7168070986578663,1.1583717890250202,True
RNF144B,0.0074,1.0605066110302201e-07,-3.101794337911272,-2.169260997468059,True
C10orf10,0.0065,1.0803314928770383e-07,-2.380446817466789,-1.613332400680212,True
CYTH3,0.008,1.3283432930057998e-07,-1.7889418507023147,-1.203214320811573,True
VGLL3,0.034,1.346700027950717e-07,-1.817795751520094,-1.341371770446761,True
ATF3,0.0022,1.494530597244479e-07,-2.914243982595706,-1.9767975671240083,True
FSTL3,3.2e-06,1.494530597244479e-07,-2.7266936272801408,-1.8173727440245373,True
WARS,0.0097,1.5150236093005497e-07,1.8755035531556523,1.3243736603415837,True
ABLIM1,0.0069,1.540712907570529e-07,-1.9909191564267692,-1.406843108676272,True
STEAP4,5.3e-10,1.5717781233984154e-07,-7.199048254035928,-5.258184740962754,True
NAV3,1.2e-06,2.515642448466965e-07,-3.246063842000168,-2.2506842682164536,True
RASL11A,2.2e-08,2.642464876986484e-07,-3.534602850177961,-2.3674052385872093,True
NEDD9,0.0036,2.656672089200289e-07,-2.4525815695112376,-1.658398840640867,True
ANPEP,0.024,3.052071910300408e-07,-1.6158184457956393,-1.0822022624697352,True
ALPK3,0.0019,3.71598275174832e-07,-4.5300624283913455,-3.039254831135312,True
PIK3R1,0.0012,4.190533255841681e-07,-2.2794581646045624,-1.624112068318061,True
NFIL3,0.0097,4.757054577255594e-07,-1.7600879498845354,-1.1501473486293772,True
FST,0.00054,5.726130825060652e-07,2.3227390158312318,1.7828874065649063,True
AIF1L,0.0062,6.31546529888546e-07,3.9385574616268704,2.707389685343858,True
G0S2,0.034,6.639191830280717e-07,3.9674113624446496,2.6756864788453454,True
FADS3,0.041,6.998646827686891e-07,-1.5148297929334118,-1.0011053854259158,True
LGI3,0.018,7.778425666672436e-07,-7.8482610224359615,-4.878398884029916,True
ING2,0.035,8.17626433493042e-07,-1.9476383052001007,-1.2942710131487132,True
TUBA1A,0.019,8.986801420889173e-07,1.7889418507023147,1.2809877249214636,True
GPRC5B,5.8e-06,1.2236157240862075e-06,-2.7266936272801408,-1.8885952778651376,True
AHCTF1,0.0057,1.2774783454971676e-06,-1.9187844043823212,-1.2912427444541448,True
CDON,0.0043,1.2774783454971676e-06,2.4958624207379065,1.6518341624560948,True
SEMA3A,0.043,1.5780015674578309e-06,1.7023801482489769,1.22329128136808,True
SAMD12,0.044,1.5964498793328012e-06,3.015232635457933,2.025477063508243,True
TM4SF1,0.036,1.6504424118473757e-06,-1.6013914953867496,-1.1674846578024838,True
COL4A1,0.0028,1.8343782763262724e-06,-1.9476383052001007,-1.3423581728778946,True
INHBB,3.6e-08,1.9481762346544264e-06,-5.0927134943380405,-3.63556484496768,True
ABHD5,0.014,1.9491729422489542e-06,-1.6735262474311976,-1.0876353059151846,True
RAPGEF5,0.0025,2.002198627802475e-06,-4.082826965715767,-2.7641808069320923,True
BDKRB1,0.0088,2.3006010202632324e-06,2.7844014289156997,1.8173010517461836,True
TMEM35,0.0004,2.5989684985734886e-06,2.4237276686934583,1.6445402301548129,True
CYR61,2.1e-05,2.7045087958121563e-06,-2.654558875235693,-1.8167701502493616,True
LEP,0.0004,2.917577312083356e-06,-4.573343279618015,-3.194639354342453,True
EBF1,0.047,3.386471733651238e-06,-1.5725375945689704,-1.1228937341825511,True
CD302,0.00041,3.697523589784147e-06,-2.4093007182845687,-1.7428458805304008,True
SLC39A10,0.017,3.8123957280415473e-06,1.8755035531556523,1.2240751105603551,True
CDC42EP3,0.0013,3.8123957280415473e-06,-2.1063347596978867,-1.5182467599637952,True
CDKN2B,0.013,3.854492641537716e-06,2.149615610924556,1.488651572547001,True
PHGDH,0.0036,3.977749028560198e-06,1.97649220601788,1.434746365197258,True
RSPO1,0.029,4.207805152285708e-06,-1.9909191564267692,-1.3668762478357068,True
TNFAIP6,0.00015,4.621125743269669e-06,3.5923106518135195,2.509321725696507,True
LINC00312,0.031,5.202604246409167e-06,-2.654558875235693,-1.9949748565269612,True
CLIC2,0.045,5.71571128704599e-06,1.861076602746763,1.2246962492162483,True
TSPAN8,0.019,5.8619482443235046e-06,-6.016038320506977,-4.382867606433943,True
ADAMTS5,6.4e-07,7.340345320310562e-06,-3.029659585866824,-2.126169010967622,True
C1QTNF1,0.016,8.642189000579045e-06,-1.817795751520094,-1.2324376132472288,True
PREB,0.02,8.914985916953553e-06,-1.644672346613418,-1.118758330856809,True
MXRA5,0.0045,9.272806410384234e-06,1.9476383052001007,1.3512290198746426,True
FIBIN,0.0083,9.345387305617566e-06,-1.7889418507023147,-1.2752390513014444,True
HSPB3,0.011,9.535215271379784e-06,-3.650018453449077,-2.3651515315889147,True
DUSP5,0.037,1.0515566035340673e-05,-1.8899305035645424,-1.276651974367009,True
AXIN2,0.048,1.1667548580461609e-05,-1.774514900293425,-1.1759243988669663,True
C7,0.0,1.1758867567060836e-05,-4.833028386978028,-3.211168419217614,True
HMOX1,0.0036,1.1869681906606711e-05,1.904357453973432,1.3361835581699928,True
PDE5A,0.03,1.2551387595112295e-05,1.817795751520094,1.16586187834971,True
PKDCC,9.9e-05,1.4026307180359195e-05,-2.394873767875679,-1.5395614885922588,True
CPM,0.0097,2.3581236488802045e-05,-2.1063347596978867,-1.4616351568406358,True
SCD,4.3e-06,2.393309398736574e-05,2.870963131369037,1.9981657553332572,True
SIPA1L2,0.0032,2.639359391393058e-05,3.851995759173533,2.722255595529773,True
GFPT2,0.0055,2.7838758698130668e-05,-1.933211354791211,-1.309722309732148,True
COL4A4,0.0073,3.1261142593654384e-05,-2.8853900817779268,-1.9695554798419903,True
EPHB3,0.019,3.6882507884149616e-05,2.091907809288997,1.4514018142352767,True
WFDC1,0.011,5.2994976553055104e-05,-2.5968510736001345,-1.7072958851967168,True
TUBB,0.019,5.571708704201332e-05,1.6879531978400872,1.2708336011058838,True
ZCCHC5,0.011,5.821748341095708e-05,-4.385792924302449,-3.029571074650378,True
CD82,0.011,6.130804045243164e-05,-1.7600879498845354,-1.2620806791113253,True
VEGFA,0.035,6.626123039023481e-05,1.7312340490667562,1.196252326743575,True
AOX1,0.00047,7.175624829201296e-05,-2.250604263786783,-1.4548912514538863,True
DIO2,0.0084,7.606621191047842e-05,-2.1207617101067764,-1.5571631628362137,True
EPHB2,0.0069,8.137799967048847e-05,2.582424123191245,1.7510922205659494,True
KANK1,0.013,8.150827042350689e-05,-1.817795751520094,-1.2264888265728648,True
INPP5A,0.0015,8.334382001962266e-05,-2.0774808588801075,-1.3890883206749989,True
IFIT1,0.017,9.498603683084592e-05,2.5102893711467966,1.6287698730888056,True
LMOD1,0.028,0.0001273564235184,-1.7023801482489769,-1.138715541150132,True
TNFRSF11B,0.0016,0.000159406208608,2.236177313377893,1.5353636222333362,True
RAB11FIP1,0.0024,0.0001951008664009,-2.236177313377893,-1.5444378914001455,True
FAM107A,7e-06,0.000233246804261,-6.737385840951459,-4.713608484205485,True
HSD17B6,0.0062,0.0002821960061993,3.2316368915912785,2.1859148413347014,True
ITGA10,1.2e-07,0.0003554885119963,-5.698645411511406,-3.6236766090245296,True
ARHGAP29,0.023,0.0003738253815665,-1.7023801482489769,-1.201796546336755,True
MICAL2,0.024,0.0004281836655086,-1.7600879498845354,-1.1147489573489366,True
CILP,0.0055,0.0004519023795042,-2.0053461068356597,-1.3648851468242122,True
BMPER,0.0096,0.0004532784873191,2.091907809288997,1.4648626322645537,True
DDAH1,0.023,0.0005075513969555,-1.8466496523378733,-1.330857061695559,True
NEGR1,0.0028,0.0005594302700683,-2.019773057244549,-1.4691369509281953,True
MEST,0.016,0.0006186620288474,2.6834127760534723,1.7879934545254224,True
CBS,0.026,0.0006954688386726,-1.8755035531556523,-1.2461911033968425,True
FAM43A,0.029,0.0007947314556299,-1.7456609994756458,-1.2345036069213493,True
HSPA2,6.7e-06,0.0011642269003065,-3.650018453449077,-2.559422235705917,True
ADARB1,1.2e-06,0.0012172919846225,-3.4191872469068434,-2.324482581586825,True
ARSI,0.031,0.0012866723566022,2.5247163215556863,1.65770801742818,True
RASL11B,5.6e-05,0.0015249783061949,-5.814061014782523,-3.9958525941708896,True
RHOJ,0.026,0.0016010254786943,1.7889418507023147,1.1830032462601283,True
SLC14A1,0.0076,0.0019399171305898,5.886195766826971,3.8568046725714,True
