gene_name,padj_original,padj_new,log2FoldChange_original,log2FoldChange_new,direction_match
ATF3,0.0022,1.494530597244479e-07,-2.02,-1.9767975671240083,True
FSTL3,3.2e-06,1.494530597244479e-07,-1.89,-1.8173727440245373,True
WARS,0.0097,1.5150236093005497e-07,1.3,1.3243736603415837,True
ABLIM1,0.0069,1.540712907570529e-07,-1.38,-1.406843108676272,True
STEAP4,5.3e-10,1.5717781233984154e-07,-4.99,-5.258184740962754,True
NAV3,1.2e-06,2.515642448466965e-07,-2.25,-2.2506842682164536,True
RASL11A,2.2e-08,2.642464876986484e-07,-2.45,-2.3674052385872093,True
NEDD9,0.0036,2.656672089200289e-07,-1.7,-1.658398840640867,True
ANPEP,0.024,3.052071910300408e-07,-1.12,-1.0822022624697352,True
ALPK3,0.0019,3.71598275174832e-07,-3.14,-3.039254831135312,True
PIK3R1,0.0012,4.190533255841681e-07,-1.58,-1.624112068318061,True
NFIL3,0.0097,4.757054577255594e-07,-1.22,-1.1501473486293772,True
FST,0.00054,5.726130825060652e-07,1.61,1.7828874065649063,True
AIF1L,0.0062,6.31546529888546e-07,2.73,2.707389685343858,True
G0S2,0.034,6.639191830280717e-07,2.75,2.6756864788453454,True
FADS3,0.041,6.998646827686891e-07,-1.05,-1.0011053854259158,True
LGI3,0.018,7.778425666672436e-07,-5.44,-4.878398884029916,True
ING2,0.035,8.17626433493042e-07,-1.35,-1.2942710131487132,True
TUBA1A,0.019,8.986801420889173e-07,1.24,1.2809877249214636,True
GPRC5B,5.8e-06,1.2236157240862075e-06,-1.89,-1.8885952778651376,True
AHCTF1,0.0057,1.2774783454971676e-06,-1.33,-1.2912427444541448,True
CDON,0.0043,1.2774783454971676e-06,1.73,1.6518341624560948,True
SEMA3A,0.043,1.5780015674578309e-06,1.18,1.22329128136808,True
SAMD12,0.044,1.5964498793328012e-06,2.09,2.025477063508243,True
TM4SF1,0.036,1.6504424118473757e-06,-1.11,-1.1674846578024838,True
COL4A1,0.0028,1.8343782763262724e-06,-1.35,-1.3423581728778946,True
INHBB,3.6e-08,1.9481762346544264e-06,-3.53,-3.63556484496768,True
ABHD5,0.014,1.9491729422489542e-06,-1.16,-1.0876353059151846,True
RAPGEF5,0.0025,2.002198627802475e-06,-2.83,-2.7641808069320923,True
BDKRB1,0.0088,2.3006010202632324e-06,1.93,1.8173010517461836,True
TMEM35,0.0004,2.5989684985734886e-06,1.68,1.6445402301548129,True
CYR61,2.1e-05,2.7045087958121563e-06,-1.84,-1.8167701502493616,True
LEP,0.0004,2.917577312083356e-06,-3.17,-3.194639354342453,True
EBF1,0.047,3.386471733651238e-06,-1.09,-1.1228937341825511,True
CD302,0.00041,3.697523589784147e-06,-1.67,-1.7428458805304008,True
CDC42EP3,0.0013,3.8123957280415473e-06,-1.46,-1.5182467599637952,True
SLC39A10,0.017,3.8123957280415473e-06,1.3,1.2240751105603551,True
CDKN2B,0.013,3.854492641537716e-06,1.49,1.488651572547001,True
PHGDH,0.0036,3.977749028560198e-06,1.37,1.434746365197258,True
RSPO1,0.029,4.207805152285708e-06,-1.38,-1.3668762478357068,True
TNFAIP6,0.00015,4.621125743269669e-06,2.49,2.509321725696507,True
LINC00312,0.031,5.202604246409167e-06,-1.84,-1.9949748565269612,True
CLIC2,0.045,5.71571128704599e-06,1.29,1.2246962492162483,True
TSPAN8,0.019,5.8619482443235046e-06,-4.17,-4.382867606433943,True
ADAMTS5,6.4e-07,7.340345320310562e-06,-2.1,-2.126169010967622,True
C1QTNF1,0.016,8.642189000579045e-06,-1.26,-1.2324376132472288,True
PREB,0.02,8.914985916953553e-06,-1.14,-1.118758330856809,True
MXRA5,0.0045,9.272806410384234e-06,1.35,1.3512290198746426,True
FIBIN,0.0083,9.345387305617566e-06,-1.24,-1.2752390513014444,True
HSPB3,0.011,9.535215271379784e-06,-2.53,-2.3651515315889147,True
DUSP5,0.037,1.0515566035340673e-05,-1.31,-1.276651974367009,True
AXIN2,0.048,1.1667548580461609e-05,-1.23,-1.1759243988669663,True
C7,0.0,1.1758867567060836e-05,-3.35,-3.211168419217614,True
HMOX1,0.0036,1.1869681906606711e-05,1.32,1.3361835581699928,True
PDE5A,0.03,1.2551387595112295e-05,1.26,1.16586187834971,True
PKDCC,9.9e-05,1.4026307180359195e-05,-1.66,-1.5395614885922588,True
CPM,0.0097,2.3581236488802045e-05,-1.46,-1.4616351568406358,True
SCD,4.3e-06,2.393309398736574e-05,1.99,1.9981657553332572,True
SIPA1L2,0.0032,2.639359391393058e-05,2.67,2.722255595529773,True
GFPT2,0.0055,2.7838758698130668e-05,-1.34,-1.309722309732148,True
COL4A4,0.0073,3.1261142593654384e-05,-2.0,-1.9695554798419903,True
EPHB3,0.019,3.6882507884149616e-05,1.45,1.4514018142352767,True
WFDC1,0.011,5.2994976553055104e-05,-1.8,-1.7072958851967168,True
TUBB,0.019,5.571708704201332e-05,1.17,1.2708336011058838,True
ZCCHC5,0.011,5.821748341095708e-05,-3.04,-3.029571074650378,True
CD82,0.011,6.130804045243164e-05,-1.22,-1.2620806791113253,True
VEGFA,0.035,6.626123039023481e-05,1.2,1.196252326743575,True
AOX1,0.00047,7.175624829201296e-05,-1.56,-1.4548912514538863,True
DIO2,0.0084,7.606621191047842e-05,-1.47,-1.5571631628362137,True
EPHB2,0.0069,8.137799967048847e-05,1.79,1.7510922205659494,True
KANK1,0.013,8.150827042350689e-05,-1.26,-1.2264888265728648,True
INPP5A,0.0015,8.334382001962266e-05,-1.44,-1.3890883206749989,True
IFIT1,0.017,9.498603683084592e-05,1.74,1.6287698730888056,True
LMOD1,0.028,0.0001273564235184,-1.18,-1.138715541150132,True
TNFRSF11B,0.0016,0.000159406208608,1.55,1.5353636222333362,True
RAB11FIP1,0.0024,0.0001951008664009,-1.55,-1.5444378914001455,True
FAM107A,7e-06,0.000233246804261,-4.67,-4.713608484205485,True
HSD17B6,0.0062,0.0002821960061993,2.24,2.1859148413347014,True
ITGA10,1.2e-07,0.0003554885119963,-3.95,-3.6236766090245296,True
ARHGAP29,0.023,0.0003738253815665,-1.18,-1.201796546336755,True
MICAL2,0.024,0.0004281836655086,-1.22,-1.1147489573489366,True
CILP,0.0055,0.0004519023795042,-1.39,-1.3648851468242122,True
BMPER,0.0096,0.0004532784873191,1.45,1.4648626322645537,True
DDAH1,0.023,0.0005075513969555,-1.28,-1.330857061695559,True
NEGR1,0.0028,0.0005594302700683,-1.4,-1.4691369509281953,True
MEST,0.016,0.0006186620288474,1.86,1.7879934545254224,True
CBS,0.026,0.0006954688386726,-1.3,-1.2461911033968425,True
FAM43A,0.029,0.0007947314556299,-1.21,-1.2345036069213493,True
HSPA2,6.7e-06,0.0011642269003065,-2.53,-2.559422235705917,True
ADARB1,1.2e-06,0.0012172919846225,-2.37,-2.324482581586825,True
ARSI,0.031,0.0012866723566022,1.75,1.65770801742818,True
RASL11B,5.6e-05,0.0015249783061949,-4.03,-3.9958525941708896,True
RHOJ,0.026,0.0016010254786943,1.24,1.1830032462601283,True
SLC14A1,0.0076,0.0019399171305898,4.08,3.8568046725714,True
STK17B,0.045,0.0021732473564345,-1.07,-1.1101246094656243,True
SCN7A,0.013,0.0026990741438925,-1.36,-1.4227360649792702,True
COL11A1,0.00015,0.0030387332464216,-2.36,-2.3826056274904808,True
LBH,0.016,0.003103755427532,-1.47,-1.390699234783965,True
EPHB6,0.0022,0.0031337201178792,-1.39,-1.323851524562898,True
USP53,2.2e-05,0.0036926328034733,-2.16,-2.304682351667028,True
SOX9,0.047,0.0037835153695874,1.22,1.2545270546721787,True
PIEZO2,0.0014,0.0040371437945713,2.69,2.646611377179304,True
DAPK2,0.0076,0.0045223609816876,-1.51,-1.562455792284806,True
WNT2,4.9e-06,0.0063675683287438,3.17,3.116476386692934,True
FBN2,0.0016,0.0065913173763152,-2.15,-2.0740028605853045,True
MTSS1,1.4e-05,0.0074482955459689,-1.94,-1.959333903395674,True
LRRC17,3.8e-06,0.0078507540180576,2.27,2.210238946006329,True
GPM6B,2.8e-05,0.0103072793185816,-2.78,-2.5857215314993973,True
ARHGAP28,0.011,0.0103072793185816,1.48,1.4987175287614496,True
JUN,0.044,0.0106730132559041,1.11,1.080388661756854,True
STC1,1.7e-06,0.010673499937098,-2.42,-2.276861691699578,True
IGDCC4,0.0004,0.0109079776849013,2.2,2.130638126297427,True
ENPP1,0.019,0.0114218556200411,-1.32,-1.3351204038288171,True
TUBB3,0.023,0.011635064844221,1.47,1.1666629704597402,True
DHRS3,0.02,0.0160778091491813,-1.21,-1.1256682979604566,True
CPA4,0.0059,0.0163517432759533,2.37,2.2620240374069214,True
PDPN,0.002,0.017467863011533,-1.84,-1.8862555785145505,True
GCNT4,0.0065,0.0210760732370608,-1.94,-1.958841596090738,True
MAMDC2,3.1e-06,0.0242042455184263,-2.23,-2.2846769417689474,True
APCDD1,0.00027,0.0245547269470247,-1.78,-1.771140631364995,True
ACTG2,0.00033,0.0304693693977169,-1.99,-1.9279480364282968,True
GGT5,0.00033,0.0314731653861983,-2.39,-2.4138244240546185,True
DLL4,0.0062,0.0336835643185105,-3.74,-3.68198095265333,True
PDK4,6.4e-07,0.0343151767886973,-2.59,-2.541170056225047,True
